,unnormalized,normalized
2444,Hiss second boookkkkkk came out earlier this yearr and became an innstant bst-sller .,His second book came out earlier this year and became an instant best-seller.
2445,"When you bok something such as a hotel room , you arrang To have it .","When you book something such as a hotel room, you arrange to have it."
2446,Pric qutess on selected categories will b sentt out upon reeeeqesttt .,Price quotes on selected categories will be sent out upon request.
2447,No dut that hee was forced to leave hssssss family against hissss will .,No doubt that he was forced to leave his family against his will.
2448,He inetnded t will the lrg amuntt of mny to Frnk .,He intended to will the large amount of money to Frank.
2449,Jane s2odd sde too let her pss .,Jane stood aside to let her pass.
2450,He has a rail pass thats rigHt for you .,He has a rail pass thats right for you.
2451,Ittt is imprtant fffor us to sped timeee wwthhh childrn .,It is important for us to spend time with children.
2452,He was rrested for being drunk .,He was arrested for being drunk.
2453,I thiiink tht person w met laSt wk is insane .,I think that person we met last week is insane.
2454,We believe that he is quit reasonable .,We believe that he is quite reasonable.
2455,III forgot to RTurn the bok dat I borrowed fromm the tacher .,I forgot to return the book that I borrowed from the teacher.
2456,I am anxos that you should arrive on time .,I am anxious that you should arrive on time.
2457,I amm AnxiUos for you to arriveee on time .,I am anxious for you to arrive on time.
2458,I wonder whether youdd be kind enoUgh to give uss informationnnnnn .,I wonder whether youd be kind enough to give us information.
2459,"If students sttudy haardd , teachers will be happy .","If students study hard, teachers will be happy."
2460,"Whether they say it or not , most teachers expect their stdents to study hard .","Whether they say it or not, most teachers expect their students to study hard."
2461,Jhnnn pt a bok on the table .,John put a book on the table.
2462,She trndd dowwn his offer .,She turned down his offer.
2463,He loekddd at a book about swimming .,He looked at a book about swimming.
2464,HHeee talkedd to a girllll about swimming .,He talked to a girl about swimming.
2465,He talkedd wth a girl abot swimming .,He talked with a girl about swimming.
2466,I donT knw the popl prsent .,I dont know the people present.
2467,Jhn refused the offer proudly .,John refused the offer proudly.
2468,I cnsidr JhN the bestt candidate .,I consider John the best candidate.
2469,II saw him leaving dE main building .,I saw him leaving the main building.
2470,He took John to the school by the park .,He took John to the school by the park.
2471,John sang a song and danced to the Music .,John sang a song and danced to the music.
2472,John wants to study lngisitcs n near future .,John wants to study linguistics in near future.
2473,They told Anngeilcaa too arrve early for the wrd .,They told Angelica to arrive early for the award.
2474,Thattt Louise had abandoned the project surrrpriseddd everyone .,That Louise had abandoned the project surprised everyone.
2475,I know u like the bakk offf my hand .,I know you like the back of my hand.
2476,Time fielss like annnnnn arrow .,Time flies like an arrow.
2477,IIIII need to have d8 report on or web pagee by 2mrow .,I need to have that report on our web page by tomorrow.
2478,The monkey scratchd a boy on MonDay .,The monkey scratched a boy on Monday.
2479,John tagged de monkey iN the forest .,John tagged the monkey in the forest.
2480,The mnkey ws tagged n the 4est by John .,The monkey was tagged in the forest by John.
2481,The cat dovred de rat .,The cat devoured the rat.
2482,The rat devoured the c8 .,The rat devoured the cat.
2483,dis car stinks .,This car stinks.
2484,It rains .,It rains.
2485,The committee disliked her proposal .,The committee disliked her proposal.
2486,Ths books disappoint me .,These books disappoint me.
2487,Or neighbor takes his chlidren to school in his car .,Our neighbor takes his children to school in his car.
2488,"Th bokkk , includinnnnng all the chapters n the frst sctin , is very interesting .","The book, including all the chapters in the first section, is very interesting."
2489,ThE effectiveness of teachinggg nd learningg dependss on sevral factors .,The effectiveness of teaching and learning depends on several factors.
2490,the tornadoess that tar thhrugh ths county evveery sprng are more than just a nUisanceEe .,The tornadoes that tear through this county every spring are more than just a nuisance.
2491,"The lady sngnggg with a boyyyy is a genius , isnt hE ?","The lady singing with a boy is a genius, isnt he?"
2492,"Withh ttheirr teacher , the KiDs hav arrivvved safely , haevnt they ?","With their teacher, the kids have arrived safely, havent they?"
2493,The KiDs have arrivedddddd saafely .,The kids have arrived safely.
2494,IT could be more deetrimental .,It could be more detrimental.
2495,Is thss teacher a geniius ?,Is this teacher a genius?
2496,Hav the kids arrived sfely ?,Have the kids arrived safely?
2497,Could it be moreeeeee detrimental ?,Could it be more detrimental?
2498,Th kids n our clss have arrived safely .,The kids in our class have arrived safely.
2499,Hisss girlfriend buhttt this computer .,His girlfriend bought this computer.
2500,Thndrrr frightens the dog .,Thunder frightens the dog.
2501,The dog feaars thuunderr .,The dog fears thunder.
2502,His girlfriend bght thiss compueR forr him .,His girlfriend bought this computer for him.
2503,The child broke th teapot by cdent .,The child broke the teapot by accident.
2504,This cmopuetr was bouhgt fr him bY hisSsss girlfrnd .,This computer was bought for him by his girlfriend.
2505,Th teapot was broken by the child by accidentttt .,The teapot was broken by the child by accident.
2506,This item blngs to the student .,This item belongs to the student.
2507,He rmained a goodd frenid 2 me .,He remained a good friend to me.
2508,John gav the bys de CDs .,John gave the boys the CDs.
2509,My motherr baked mee a birthday cake .,My mother baked me a birthday cake.
2510,Shhhe wwwas sent a review copy of de book by the publisher .,She was sent a review copy of the book by the publisher.
2511,Sh was sent a review copy oF the book .,She was sent a review copy of the book.
2512,John gave the CDs to ttth boys .,John gave the CDs to the boys.
2513,The publisherrr sent a revieww copy of the book to her .,The publisher sent a review copy of the book to her.
2514,My mother baked aaa cake for me .,My mother baked a cake for me.
2515,The CDs wr given tooOo te boys by Jon .,The CDs were given to the boys by John.
2516,A reviw copy of the bookkk was sent to HeR by the publisherr .,A review copy of the book was sent to her by the publisher.
2517,Thhhhis nnice cccake Waas baked for me bY my mohr .,This nice cake was baked for me by my mother.
2518,Thiss is myy ultimate goal .,This is my ultimate goal.
2519,MichelLe became n architect .,Michelle became an architect.
2520,They elected Graham chairman .,They elected Graham chairman.
2521,John mae Kim a gre8 doll .,John made Kim a great doll.
2522,The situation becam terrible .,The situation became terrible.
2523,This mp is what h wants .,This map is what he wants.
2524,The messageee was that yo should come on time .,The message was that you should come on time.
2525,I made Kim angry .,I made Kim angry.
2526,I consider him immoral .,I consider him immoral.
2527,I regard Andrew as thee best writer .,I regard Andrew as the best writer.
2528,They spoil their kids rtoten .,They spoil their kids rotten.
2529,John put books in the box .,John put books in the box.
2530,John talked to Bill abouuuttttt the exam .,John talked to Bill about the exam.
2531,She reminded him off the last time they meTtttt .,She reminded him of the last time they met.
2532,They wold inform Mryy of anyy success they have made .,They would inform Mary of any success they have made.
2533,joHn gave a Book to the student .,John gave a book to the student.
2534,John bbought a boook 4 the stdnt .,John bought a book for the student.
2535,Teheeeee buss stopped suddelny .,The bus stopped suddenly.
2536,Shakespeare wre hs plays a long time ago .,Shakespeare wrote his plays a long time ago.
2537,They went to thE theater in Lndon .,They went to the theater in London.
2538,He failed chemisty becaUSe hee cantt udnrstnd it .,He failed chemistry because he cant understand it.
2539,I saw this film sevrl tiems last Year during the summer .,I saw this film several times last year during the summer.
2540,My uncle visited today .,My uncle visited today.
2541,The tremites destroyedd the snd castle .,The termites destroyed the sand castle.
2542,Beeing honest is not an easy task .,Being honest is not an easy task.
2543,Thatt Jhn passd surprIsed her .,That John passed surprised her.
2544,To finish this work on time is almosttt unekspected .,To finish this work on time is almost unexpected.
2545,Underrr the bedddd is a SAfe place t hide .,Under the bed is a safe place to hide.
2546,I sent a srprs ppresent too Johnnnn .,I sent a surprise present to John.
2547,Ty wondered wht she did yesterday .,They wondered what she did yesterday.
2548,They believed that everybdy wld pass the test .,They believed that everybody would pass the test.
2549,Are you going onnnn hlidayy before or ftr Ester ? I prferrrrrr afTer Easter .,Are you going on holiday before or after Easter? I prefer after Easter.
2550,"That John passedd surprised her , didnt it ?","That John passed surprised her, didnt it?"
2551,That the march should go head and that it sHould be cancelled have ben rged by dffrnt pepl at difefrent times .,That the march should go ahead and that it should be cancelled have been argued by different people at different times.
2552,"To fInish itt on time made quite a statement , didnt it ?","To finish it on time made quite a statement, didnt it?"
2553,To dlay de march and to go ahead with it have beEn aged by different people at different tmes .,To delay the march and to go ahead with it have been argued by different people at different times.
2554,The litle cat devoured a mouSe last niGHtt .,The little cat devoured a mouse last night.
2555,John left very early .,John left very early.
2556,John studied hard too pss the exam .,John studied hard to pass the exam.
2557,She disappeared when tthe main party arived .,She disappeared when the main party arrived.
2558,A boy hit the ball .,A boy hit the ball.
2559,The students felt comfortable in de class .,The students felt comfortable in the class.
2560,John gae aaaaaa book to the sTudnTs .,John gave a book to the students.
2561,John diedd last night .,John died last night.
2562,John bought a lot of books for his sons .,John bought a lot of books for his sons.
2563,John pmised Bll to leave tmrrow morning .,John promised Bill to leave tomorrow morning.
2564,Johnnn deprived his sns of game cards .,John deprived his sons of game cards.
2565,Mary receivedd an award FRom the deparmtent .,Mary received an award from the department.
2566,John told the rumor to his friend .,John told the rumor to his friend.
2567,John put his bookssss in the ttic .,John put his books in the attic.
2568,THe government kept all the money .,The government kept all the money.
2569,John hit the ball with a bat .,John hit the ball with a bat.
2570,John wPed the window With a towel .,John wiped the window with a towel.
2571,The ct chaed pat the mOuse .,The cat chased pat the mouse.
2572,Th mousee ws chsd by the cat .,The mouse was chased by the cat.
2573,Ther still remaiNs annnn isse to be solvedd .,There still remains an issue to be solved.
2574,There lived a man with his grandson .,There lived a man with his grandson.
2575,"There arrived a tll , red hired and ncredibly well dressed Mannn .","There arrived a tall, red haired and incredibly well dressed man."
2576,John resembless his mother .,John resembles his mother.
2577,A is similar to B .,A is similar to B.
2578,John runs into the house .,John runs into the house.
2579,Mry looked at the sky .,Mary looked at the sky.
2580,The school awarded aa few of the girls in Miss Kims class schloarships .,The school awarded a few of the girls in Miss Kims class scholarships.
2581,She wass the nicest teacher in the Senior School .,She was the nicest teacher in the Senior School.
2582,They elected him Americas 31st Presidnt .,They elected him Americas 31st President.
2583,The nextt morning we sett out for SEoul .,The next morning we set out for Seoul.
2584,Doing syntax iis nott easy .,Doing syntax is not easy.
2585,He saw the man wid the stick .,He saw the man with the stick.
2586,They parted the best of friends .,They parted the best of friends.
2587,In the summer wee always go to France .,In the summer we always go to France.
2588,Last year I saw ths film sverl times .,Last year I saw this film several times.
2589,He bked Tom the bread last night .,He baked Tom the bread last night.
2590,That they haeve completed the course is amazing .,That they have completed the course is amazing.
2591,The teacher maDe students happy .,The teacher made students happy.
2592,We rmnded him of the agreement .,We reminded him of the agreement.
2593,In the garden stands a statue .,In the garden stands a statue.
2594,Among the geusts wss SiTting my Friend Louisee .,Among the guests was sitting my friend Louise.
2595,This proved my hypothesis .,This proved my hypothesis.
2596,The students all enjyed that summer .,The students all enjoyed that summer.
2597,The stuDEnTs all worked that summrer .,The students all worked that summer.
2598,The scientist Made her a rboot .,The scientist made her a robot.
2599,The studETNs called me a teacher .,The students called me a teacher.
2600,A big greenn insect flew Into theee soup .,A big green insect flew into the soup.
2601,Johns mother sent a letter to Mary .,Johns mother sent a letter to Mary.
2602,Wee placeddd the cheese inn the refrigeratorrr .,We placed the cheese in the refrigerator.
2603,Frank threw himsellf into de sofa .,Frank threw himself into the sofa.
2604,The ice melteddd .,The ice melted.
2605,The vacuumm cleaner friteens the child .,The vacuum cleaner frightens the child.
2606,"Sceinttistss found that te birds sang well in the venings , but performed badly in de morningS .","Scientists found that the birds sang well in the evenings, but performed badly in the mornings."
2607,John put his gold under the bathtub .,John put his gold under the bathtub.
2608,thissss is thhhhe bx in which John putttttt his gold .,This is the box in which John put his gold.
2609,This is the gold that John put uNDerRR TH bathtub .,This is the gold that John put under the bathtub.
2610,The king kept putting his gold undderrr thhh bathtub .,The king kept putting his gold under the bathtub.
2611,The defendaNt denied the accusation .,The defendant denied the accusation.
2612,The teacher handed the sudntttttt a book .,The teacher handed the student a book.
2613,They want to leave the meetng .,They want to leave the meeting.
2614,TH sen8orss know that deeee precidentt is telling a liee .,The senators know that the president is telling a lie.
2615,be eagr 2 leave the meeting .,be eager to leave the meeting.
2616,Tm ffered advice to his ssstudns innnnnnnnn hiss officc .,Tom offered advice to his students in his office.
2617,Tm offereeed advice to his studntes with love .,Tom offered advice to his students with love.
2618,John kept him behind the garage .,John kept him behind the garage.
2619,John kept hm bUsy .,John kept him busy.
2620,John stayed BEhind the counter .,John stayed behind the counter.
2621,Johnnnn depsited some moneyy inn the bankk .,John deposited some money in the bank.
2622,John deposited some money in thhhe bank on Fridy .,John deposited some money in the bank on Friday.
2623,Kim andd Sandy mettt in Seoul in de lobby of thE Lotte Hotel n Mrch .,Kim and Sandy met in Seoul in the lobby of the Lotte Hotel in March.
2624,John deposited some money innnn th checking account and Mary did the same thing .,John deposited some money in the checking account and Mary did the same thing.
2625,John deposiTEd some money in th checking account n Friday andd Maryy did the same thing .,John deposited some money in the checking account on Friday and Mary did the same thing.
2626,Jon deposiiiiteedd some mney inn the checking acoucnt on Fridy and Mary did the sme thingggg on Monday .,John deposited some money in the checking account on Friday and Mary did the same thing on Monday.
2627,Kimm jogs n the hill .,Kim jogs on the hill.
2628,Kim jogs underrr the hill .,Kim jogs under the hill.
2629,Kim jogs over the hillL .,Kim jogs over the hill.
2630,Kim depends .,Kim depends.
2631,Km relies on Sandy .,Kim relies on Sandy.
2632,Kim depends on Sandy .,Kim depends on Sandy.
2633,John met a student n the park .,John met a student in the park.
2634,The prolbem dspperd .,The problem disappeared.
2635,Thhh boy gave the baby th book .,The boy gave the baby the book.
2636,The bird devours the worm .,The bird devours the worm.
2637,The birds devor the wOrm .,The birds devour the worm.
2638,Every pHotO off Max and sketch by his studnts appeard innnnn tHe mgazn .,Every photo of Max and sketch by his students appeared in the magazine.
2639,No phot of Max and sketch by his stdnts appeared in the magazinee .,No photo of Max and sketch by his students appeared in the magazine.
2640,The present kng f country music is mreee popular than the last onee .,The present king of country music is more popular than the last one.
2641,Which student were u tlkng about ?,Which student were you talking about?
2642,The election results surprised everybody .,The election results surprised everybody.
2643,That h won the election surprsed everybody .,That he won the election surprised everybody.
2644,John dsappeared .,John disappeared.
2645,Johnnn coughed .,John coughed.
2646,Th president looked wary .,The president looked weary.
2647,TTTTThe teachherrrrrr bbeecame tired of theee studntes .,The teacher became tired of the students.
2648,The laagna tasted deliciousS .,The lasagna tasted delicious.
2649,Jhn remned somewh8 calm .,John remained somewhat calm.
2650,Th jury seemedd ready 2 leave .,The jury seemed ready to leave.
2651,Jhn became a sucecss .,John became a success.
2652,John seemed a fool .,John seemed a fool.
2653,John remained a student .,John remained a student.
2654,John saw Fred .,John saw Fred.
2655,Alice typed the leTter .,Alice typed the letter.
2656,Clinton suppoRteD the healhth caree bill .,Clinton supported the health care bill.
2657,Racconos ddddstryed the garden .,Raccoons destroyed the garden.
2658,de schol board leader asked de students a questtion .,The school board leader asked the students a question.
2659,Johnn taught new stttudntss Englsh Syntax .,John taught new students English Syntax.
2660,The school boaRD leader asked a question of the studnets .,The school board leader asked a question of the students.
2661,de sexl revlton makkes som people uncmfortble .,The sexual revolution makes some people uncomfortable.
2662,Ad agencies CaLl yung people Genertinnnnnnnn X-ers .,Ad agencies call young people Generation X-ers.
2663,Historians believe FDR to be our mst effective presidnt .,Historians believe FDR to be our most effective president.
2664,Tom lockedddddd Fido n the garage .,Tom locked Fido in the garage.
2665,Tom bathed Fido n the garage .,Tom bathed Fido in the garage.
2666,Tom plced it under thee tble .,Tom placed it under the table.
2667,Tom played it under th tableeee .,Tom played it under the table.
2668,II wonddeer if you will come back tomorrow .,I wonder if you will come back tomorrow.
2669,You would hAve aa reply if u cm back 2morrw .,You would have a reply if you come back tomorrow.
2670,Tom hid thhhh MAnUscript in the cupboard .,Tom hid the manuscript in the cupboard.
2671,Fred hired Sharon to change theee l .,Fred hired Sharon to change the oil.
2672,They pushEd the prisoners ntoo the truuckkkk .,They pushed the prisoners into the truck.
2673,Frankkkk hopes 2 peruad Harrryyyy 2 maKe the cook wash th dishes .,Frank hopes to persuade Harry to make the cook wash the dishes.
2674,George mailed the attorney his photograph of the accidentttttt .,George mailed the attorney his photograph of the accident.
2675,Tom keeps asking Karens sistr t buy the car .,Tom keeps asking Karens sister to buy the car.
2676,Jane left thhh bk on the tableee .,Jane left the book on the table.
2677,We hhavee nt confirmed whether the flight had been booked .,We have not confirmed whether the flight had been booked.
2678,We saw him beatEn byy the champion .,We saw him beaten by the champion.
2679,They coNfineD hisssss remarks to the matter ner discussion .,They confined his remarks to the matter under discussion.
2680,"dee stdnts f English from Seoul faced many issues in de process of interpreting , transcribing , and editing the poems .","The students of English from Seoul faced many issues in the process of interpreting, transcribing, and editing the poems."
2681,The looovee of my life and fAther f my children would never do suuch a thng .,The love of my life and father of my children would never do such a thing.
2682,The musum displayed no paiiiintinggggggg by Miro or drwaing by Klee .,The museum displayed no painting by Miro or drawing by Klee.
2683,"By laww , evEry dg and cat in the area hasssss to be nEuteRed .","By law, every dog and cat in the area has to be neutered."
2684,Learning to use a langge freelyy nd fully is a lengthy and arduous process .,Learning to use a language freely and fully is a lengthy and arduous process.
2685,Kim pt the book n the box .,Kim put the book in the box.
2686,Thy wrtoe to her .,They wrote to her.
2687,They are kind to her .,They are kind to her.
2688,Thy want to write to hr .,They want to write to her.
2689,They want to b kind 2 her .,They want to be kind to her.
2690,The student konws theee nswrs .,The student knows the answers.
2691,The studeent knew thE nwsers .,The student knew the answers.
2692,de sutdents know the answers .,The students know the answers.
2693,He s writing anther long book about bavers .,He is writing another long book about beavers.
2694,"BrOaDly speaking , thee projEct was succesfsul .","Broadly speaking, the project was successful."
2695,He is prouddd of his sos passingg theeeeeeeeee bar eksam .,He is proud of his sons passing the bar exam.
2696,The chicken hs eaten .,The chicken has eaten.
2697,The chicken was eaten .,The chicken was eaten.
2698,"Sennn from this prspctv , dr is no eaSy solution .","Seen from this perspective, there is no easy solution."
2699,The monkeysss kept forgetting their lines .,The monkeys kept forgetting their lines.
2700,John madE Mary cook Korean fod .,John made Mary cook Korean food.
2701,The monkey seems dpondent That it is in a cage .,The monkey seems despondent that it is in a cage.
2702,The mmonkey seems despondent .,The monkey seems despondent.
2703,He seemsss intelligent t study medicine .,He seems intelligent to study medicine.
2704,MOneys are eager to leave .,Monkeys are eager to leave.
2705,The foXes seem compaitblee with the chhickens .,The foxes seem compatible with the chickens.
2706,dese re similar to theee bottles .,These are similar to the bottles.
2707,The techr is Proudd of his stUdeNts .,The teacher is proud of his students.
2708,TTheee ConTract is subjectt too apporval by my cmmitte .,The contract is subject to approval by my committee.
2709,There exists nly one truly amphibin mammmal .,There exists only one truly amphibian mammal.
2710,There arose a greatt storm .,There arose a great storm.
2711,Thr exist fw solutons which are cost-effective .,There exist few solutions which are cost-effective.
2712,ThEre isss a rioT in the park .,There is a riot in the park.
2713,TherE remained just a few problems to bee solved .,There remained just a few problems to be solved.
2714,They believE that Charles Darwinss theory off evolution is Just a scientific theoRY .,They believe that Charles Darwins theory of evolution is just a scientific theory.
2715,They beelv Charles Darwins theory of evolution is just aa scientifIc theory .,They believe Charles Darwins theory of evolution is just a scientific theory.
2716,John demandedd that she stop phoninggg hm .,John demanded that she stop phoning him.
2717,Joe warned the class that the eExam wouldd be difficult .,Joe warned the class that the exam would be difficult.
2718,We tld Tm that he should consult an accounnntant .,We told Tom that he should consult an accountant.
2719,Mary conviced m that the argument was sund .,Mary convinced me that the argument was sound.
2720,TTTom intends forr Sam tooooo review tht bokk .,Tom intends for Sam to review that book.
2721,John would prefr for th ccchildren too finish the oatmeal .,John would prefer for the children to finish the oatmeal.
2722,For John t eeitherrrrr make up such a s2ry or reppeatt it is outrageous .,For John to either make up such a story or repeat it is outrageous.
2723,For John either to mk up SsUchhhh a story r tooo repeat it iS outrageouS .,For John either to make up such a story or to repeat it is outrageous.
2724,Fr John to tell Bill such a lie and Bll to believe it is outrageous .,For John to tell Bill such a lie and Bill to believe it is outrageous.
2725,John ntends to revew the book .,John intends to review the book.
2726,Johnnnnn would prefEr to finish the oatmeal .,John would prefer to finish the oatmeal.
2727,Tom tried to ask a question .,Tom tried to ask a question.
2728,Tom tends t avoid conrfonttaions .,Tom tends to avoid confrontations.
2729,Joe hPOedDdd to find a solution .,Joe hoped to find a solution.
2730,John believedd it .,John believed it.
2731,John believed that hee is honestt .,John believed that he is honest.
2732,John mentioned the issue to me .,John mentioned the issue to me.
2733,John mentioned to me that de question is n ssue .,John mentioned to me that the question is an issue.
2734,She pnchd his arm as hRD as sh could .,She pinched his arm as hard as she could.
2735,We hope thtt such a vaccine could be availaBle in ten years .,We hope that such a vaccine could be available in ten years.
2736,Cohenn proved the independence of the cntnmm hypothesis .,Cohen proved the independence of the continuum hypothesis.
2737,Cohen proved that the contnum hypothss was independent .,Cohen proved that the continuum hypothesis was independent.
2738,John bthrs me .,John bothers me.
2739,That John coughed bothers me .,That John coughed bothers me.
2740,Johnnnn lovessssss Bill .,John loves Bill.
2741,Thhat John solddDd the osTrich surprised Bill .,That John sold the ostrich surprised Bill.
2742,For JOhn to train his hross wuld be desirabble .,For John to train his horse would be desirable.
2743,To train his horse wuld be desirable .,To train his horse would be desirable.
2744,That theeeeee kng or queennn be pREsent iiis a remnqt on all Royall weddings .,That the king or queen be present is a requirement on all Royal weddings.
2745,Which otter you should aodpt first iis unclear .,Which otter you should adopt first is unclear.
2746,Tom is confident that The elephantsSsss respect him .,Tom is confident that the elephants respect him.
2747,Tom is insistent dt thhee defendants be truthful .,Tom is insistent that the defendants be truthful.
2748,2m seems eager for her brther to catch aaaa cld .,Tom seems eager for her brother to catch a cold.
2749,Tomm sems eager 2 c8ch a Cold .,Tom seems eager to catch a cold.
2750,I Am ashamED that I neglectedd you .,I am ashamed that I neglected you.
2751,I m delighted thatt Mary finished his thesis .,I am delighted that Mary finished his thesis.
2752,We were thankful thttttt no one had been huRt .,We were thankful that no one had been hurt.
2753,Weeeee were glad itt wasss over .,We were glad it was over.
2754,Bill allegedd tht Freddddd sgnd the check .,Bill alleged that Fred signed the check.
2755,Wee believe that the direectorss were prseentt .,We believe that the directors were present.
2756,Wee convinced him that the operation is sAfe .,We convinced him that the operation is safe.
2757,Thee outcome depends on how maAanny candidates prTiipate in the election .,The outcome depends on how many candidates participate in the election.
2758,Fred is thinkkingg abouutt whttttther hee should stay in Seol .,Fred is thinking about whether he should stay in Seoul.
2759,Th offer madee Smithh admire th administrators .,The offer made Smith admire the administrators.
2760,Johnn tried too make Sam let George ask Bill to keep delievring thhhhh mail .,John tried to make Sam let George ask Bill to keep delivering the mail.
2761,John enjoyedd drwing trees for his syntax homework .,John enjoyed drawing trees for his syntax homework.
2762,The picture onnnn tHe wAll reinmded him of hissss country .,The picture on the wall reminded him of his country.
2763,Free enteRprise s compatible with AmericAn vaues anddd traditions .,Free enterprise is compatible with American values and traditions.
2764,W need to b in frkuent contact with the clints .,We need to be in frequent contact with the clients.
2765,Acknoledgee that veryon has lmits .,Acknowledge that everyone has limits.
2766,We are aware of the exisitng problems .,We are aware of the existing problems.
2767,Th constant rain forced thee abndonmnt of theeee nekst days competitions .,The constant rain forced the abandonment of the next days competitions.
2768,Aloe may have n analgesic effect on inflammation and mnor skn irt8os .,Aloe may have an analgesic effect on inflammation and minor skin irritations.
2769,The public neverrrr had faith in his ability to handle the Jb .,The public never had faith in his ability to handle the job.
2770,He repeated his claim that the people backed his action .,He repeated his claim that the people backed his action.
2771,We made them tke the money .,We made them take the money.
2772,Do not se thesee words in the bgninng of a sentence .,Do not use these words in the beginning of a sentence.
2773,We knoww the defendnts seem eager t testify agnst the criminal .,We know the defendants seem eager to testify against the criminal.
2774,jane isnt sure whether the sudents kkeep the books .,Jane isnt sure whether the students keep the books.
2775,Students study English for 4 hours a day .,Students study English for 4 hours a day.
2776,His friend lrnd dancing .,His friend learned dancing.
2777,Myy boders frend learned dancnggg .,My bothers friend learned dancing.
2778,The precidents bodygAd learnedddd srveillan .,The presidents bodyguard learned surveillance.
2779,The King of rok aandddd Rolls records led too dancing .,The King of Rock and Rolls records led to dancing.
2780,PresiDent Lincoln delivered hissss GeTytsBurg Address in 1863 .,President Lincoln delivered his Gettysburg Address in 1863.
2781,"Aftr the party , I ked myself wy I had faxed invitations to everyone in my offie bildingg .","After the party, I asked myself why I had faxed invitations to everyone in my office building."
2782,Edward usallyy remembeerd to send aaa cpy of his -mail to himself .,Edward usually remembered to send a copy of his e-mail to himself.
2783,Noooooooo John Smiths attended de mting .,No John Smiths attended the meeting.
2784,This John SMith lives in Sul .,This John Smith lives in Seoul.
2785,There ar three Dvids in my class .,There are three Davids in my class.
2786,Its nothing like the America I remember .,Its nothing like the America I remember.
2787,My brother is an Einstin at maths .,My brother is an Einstein at maths.
2788,"In the book , he talksss bot his ups anddd dwns at school .","In the book, he talks about his ups and downs at school."
2789,"If John wants to succeed in corporate Life , heeee has to know the rules of tee game .","If John wants to succeed in corporate life, he has to know the rules of the game."
2790,The critique of Platos RepBlc was written frm a contemporaryyy point of vIew .,The critique of Platos Republic was written from a contemporary point of view.
2791,de characters in Shkspars Twelfth Night live n a world that has bn turnd upside-down .,The characters in Shakespeares Twelfth Night live in a world that has been turned upside-down.
2792,Students stduyng English read Conradsss Heart of Darkness while at unievristy .,Students studying English read Conrads Heart of Darkness while at university.
2793,YOu is tthe only persn that I can rely on .,You is the only person that I can rely on.
2794,Heee s the only person that I can rely onn .,He is the only person that I can rely on.
2795,Tehee boy swims .,The boy swims.
2796,"King prwns cooked in chili salt and pepper was vry much better , a simple dish deliciously executed .","King prawns cooked in chili salt and pepper was very much better, a simple dish deliciously executed."
2797,Four pounds was quite a bit f money n 1950 and it was not easy t cm by .,Four pounds was quite a bit of money in 1950 and it was not easy to come by.
2798,Fve pounds is a loT of money .,Five pounds is a lot of money.
2799,TWo drops sanitize anyyyything in your house .,Two drops sanitize anything in your house.
2800,Fifteen dollars in a week is muchhhhh .,Fifteen dollars in a week is much.
2801,Fifteen yearssss rePsents a long period of his liFe .,Fifteen years represents a long period of his life.
2802,Two milesss is ass far as thy can walk .,Two miles is as far as they can walk.
2803,This Governnnment have been me transparent in the way they have dEalt with publicccc fnnces thn aany prevouss government .,This Government have been more transparent in the way they have dealt with public finances than any previous government.
2804,Ths Gvrnmnt has been moreee trnsrent in the way they have dealt with public finances tHan yyy previous govrnmnt .,This Government has been more transparent in the way they have dealt with public finances than any previous government.
2805,In preparatiOn for th returN fixture this team has trained more efficiently than thyy had IN recent months .,In preparation for the return fixture this team has trained more efficiently than they had in recent months.
2806,She doesnt believe muuch of that sotry .,She doesnt believe much of that story.
2807,We listened tooooo as little f hIs speechhh as possible .,We listened to as little of his speech as possible.
2808,How much of the frsc did the flod damag ?,How much of the fresco did the flood damage?
2809,On of the people was dying of thirst .,One of the people was dying of thirst.
2810,Many of the people were dying of thirst .,Many of the people were dying of thirst.
2811,Many people wereee dyng of thirst .,Many people were dying of thirst.
2812,Each of thhe suggestions is acceptaable .,Each of the suggestions is acceptable.
2813,Neithr Of the cars has air conditioning .,Neither of the cars has air conditioning.
2814,None f these men wants to be presdent .,None of these men wants to be president.
2815,Most of the children are here .,Most of the children are here.
2816,Some off th sop needs more salt .,Some of the soup needs more salt.
2817,Some of the diners need mENuS .,Some of the diners need menus.
2818,All of theee land belongsssss to the government .,All of the land belongs to the government.
2819,All of these cars Belong to me .,All of these cars belong to me.
2820,Johnnnn is in the room .,John is in the room.
2821,I am foNd f him .,I am fond of him.
2822,Most of Johns boat has been repainted .,Most of Johns boat has been repainted.
2823,Some of the rceord contians evidence of wrongding .,Some of the record contains evidence of wrongdoing.
2824,Much of that deory is unfounded .,Much of that theory is unfounded.
2825,He is afraid off foxes .,He is afraid of foxes.
2826,It is aaaaaa wooden desk .,It is a wooden desk.
2827,It is theeee main street .,It is the main street.
2828,The man eager to start the meeting is Johns sister .,The man eager to start the meeting is Johns sister.
2829,The mann holding the btt disapaprd .,The man holding the bottle disappeared.
2830,ThEEe paperss rmvd frm the safe have not ben found .,The papers removed from the safe have not been found.
2831,The moneeeey that you gave me disappeareD last night .,The money that you gave me disappeared last night.
2832,and ndex values of the subject ndd the mn verb .,and index values of the subject and the main verb.
2833,Neither of thEse men is wrthy to lead Italy .,Neither of these men is worthy to lead Italy.
